H,S,V,Label
25,155,173,beige
25,177,207,beige
18,183,53,gold
25,165,209,gold
20,232,79,gold
13,230,61,brown
6,190,51,brown
12,224,58,brown
26,184,187,beige
25,187,187,beige
26,195,179,beige
18,211,76,gold
18,213,121,gold
23,194,159,gold
23,212,71,gold
13,58,31,black
15,223,118,brown
58,211,70,green
47,234,167,green
46,240,156,green
52,213,73,green
26,183,162,beige
25,193,180,beige
25,182,181,beige
26,201,181,beige
21,216,72,gold
21,202,174,gold
22,184,172,gold
23,206,68,gold
25,175,181,beige
27,192,182,beige
26,161,171,beige
26,184,165,beige
179,246,117,red
179,246,119,red
16,224,57,gold
19,204,95,gold
20,198,162,gold
22,225,85,gold
27,148,167,beige
20,199,168,gold
23,167,145,gold
26,197,66,gold
26,168,182,beige
24,175,159,beige
27,185,164,beige
28,179,172,beige
24,181,176,beige
24,183,173,gold
26,191,172,gold
27,255,58,gold
0,0,255,blue
0,0,255,blue
27,161,169,beige
27,181,172,beige
13,211,58,brown
14,216,66,brown
17,229,68,brown
21,216,99,gold
27,170,181,gold
20,204,90,gold
25,178,159,gold
26,159,183,beige
16,221,91,brown
16,231,96,brown
16,243,110,brown
23,172,153,gold
24,175,181,gold
24,176,152,gold
22,177,171,gold
25,179,187,beige
24,195,188,beige
27,195,173,beige
23,194,185,beige
18,154,53,gold
25,204,185,gold
25,195,182,gold
26,198,71,gold
0,246,112,red
24,172,181,beige
26,171,161,beige
24,177,173,beige
23,184,177,beige
10,249,177,orange
21,212,88,gold
25,205,189,beige
26,192,166,beige
21,194,158,gold
22,185,176,gold
24,184,187,gold
21,178,33,black
23,81,38,black
23,193,165,gold
27,151,171,gold
24,176,172,gold
25,183,163,gold
9,255,171,orange
10,255,180,orange
10,252,171,orange
11,255,171,orange
24,192,183,beige
24,169,169,beige
15,225,51,brown
16,214,62,brown
11,156,80,brown
11,210,63,brown
16,226,62,brown
13,215,57,brown
10,191,56,brown
19,166,72,brown
6,152,79,brown
15,240,51,brown
103,99,18,black
34,50,41,black
20,212,71,gold
25,193,176,gold
23,132,151,gold
22,183,74,gold
25,183,178,beige
26,170,184,beige
28,183,178,beige
17,212,66,gold
21,194,171,gold
21,221,60,gold
22,217,161,gold
12,200,93,brown
18,224,66,brown
17,201,71,brown
80,121,19,black
25,194,185,beige
25,193,178,beige
27,175,182,beige
14,189,54,gold
22,211,178,gold
22,189,159,gold
19,220,109,gold
22,203,177,gold
12,255,57,brown
15,236,81,brown
5,182,98,brown
24,190,183,beige
24,181,186,beige
26,178,208,beige
24,180,171,beige
26,183,171,beige
15,215,57,gold
25,207,179,gold
25,197,171,gold
18,224,81,gold
13,253,117,brown
9,227,81,brown
0,0,255,green
25,180,180,beige
23,210,183,beige
23,204,176,beige
22,197,181,gold
20,223,97,gold
21,188,179,beige
22,181,189,beige
22,195,174,beige
24,196,187,beige
18,206,78,gold
24,222,92,gold
17,196,121,gold
10,215,82,brown
24,169,178,beige
24,174,188,beige
24,157,153,beige
23,177,166,beige
25,175,176,beige
22,208,184,gold
24,207,186,gold
18,214,100,gold
11,207,64,brown
0,0,255,violet
24,179,170,beige
23,180,171,beige
24,158,150,beige
23,169,161,beige
23,189,162,beige
16,220,44,gold
19,230,122,gold
25,185,176,gold
20,141,74,gold
1,209,55,brown
5,213,48,brown
113,206,57,blue
104,127,38,blue
120,255,255,blue
0,0,255,green
60,255,255,green
5,255,41,brown
28,163,167,beige
27,178,172,beige
26,165,162,beige
18,190,51,gold
27,193,177,gold
26,206,52,gold
27,164,84,gold
12,255,135,brown
0,0,255,grey
30,58,53,grey
104,97,50,grey
0,0,128,grey
0,0,255,grey
0,0,255,grey
13,82,78,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,blue
28,161,177,beige
25,192,187,beige
19,221,52,gold
23,192,157,gold
24,203,168,gold
18,233,47,gold
9,244,115,brown
10,219,100,brown
22,107,69,grey
21,58,44,grey
170,35,44,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
105,92,50,grey
0,0,128,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,128,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
9,240,187,orange
13,143,16,black
15,227,74,brown
113,255,101,blue
175,146,21,black
173,51,20,black
109,253,129,blue
140,255,72,violet
115,250,97,blue
178,236,135,red
11,255,83,brown
112,255,123,blue
60,25,70,grey
23,172,190,beige
0,255,182,red
53,220,101,green
29,255,216,yellow
36,91,14,black
22,172,117,gold
0,255,176,red
113,250,97,blue
26,167,194,beige
22,186,152,gold
24,204,194,beige
26,178,190,beige
0,255,176,red
55,208,159,green
28,245,173,yellow
19,255,255,orange
133,252,74,violet
117,255,107,blue
29,254,205,yellow
113,251,138,blue
132,242,98,violet
53,223,127,green
11,244,184,orange
90,40,76,grey
170,36,63,grey
0,255,129,red
55,221,119,green
116,48,79,grey
135,243,88,violet
137,237,72,violet
110,255,120,blue
10,252,223,orange
142,41,68,grey
135,255,84,violet
108,255,115,blue
52,213,102,green
10,254,214,orange
116,253,136,blue
0,253,149,red
148,211,81,violet
179,254,176,red
0,254,176,red
113,255,140,blue
9,255,203,orange
26,204,194,beige
15,234,74,brown
111,44,75,grey
13,255,64,brown
22,162,165,beige
136,244,92,violet
31,247,181,yellow
30,254,210,yellow
151,207,58,violet
0,255,171,red
10,255,80,brown
10,255,235,orange
109,31,66,grey
23,198,193,beige
11,255,79,brown
22,206,135,gold
9,255,72,brown
54,216,130,green
138,249,90,violet
0,249,135,red
54,231,105,green
11,255,220,orange
179,251,142,red
50,240,134,green
10,255,229,orange
179,245,130,red
106,233,127,blue
3,245,125,red
23,70,58,grey
73,37,62,grey
132,235,75,violet
10,255,223,orange
25,192,193,beige
137,249,91,violet
35,90,17,black
179,246,172,red
110,255,124,blue
11,253,222,orange
17,247,61,brown
119,255,94,blue
10,249,80,brown
9,255,215,orange
0,249,160,red
2,241,142,red
112,252,93,blue
21,207,138,gold
29,254,221,yellow
24,176,178,beige
111,255,102,blue
179,248,137,red
144,255,71,violet
146,215,83,violet
16,140,20,black
10,251,187,orange
139,233,80,violet
14,242,80,brown
112,253,131,blue
9,215,63,brown
0,248,140,red
52,217,129,green
58,197,109,green
62,238,134,green
0,255,161,red
109,255,121,blue
0,255,159,red
148,194,84,violet
6,159,16,black
26,199,190,beige
107,250,110,blue
20,213,86,gold
29,254,212,yellow
0,255,184,red
111,255,109,blue
10,254,220,orange
6,98,13,black
151,183,96,violet
11,254,230,orange
137,211,111,violet
137,222,77,violet
16,251,72,brown
108,255,126,blue
156,91,14,black
114,247,93,blue
114,17,76,grey
28,254,216,yellow
25,191,200,beige
113,251,118,blue
53,243,107,green
27,167,196,beige
47,250,94,green
153,144,106,violet
110,255,110,blue
120,8,66,grey
30,255,198,yellow
25,177,195,beige
12,208,70,brown
0,255,153,red
111,213,85,blue
56,226,131,green
24,75,17,black
142,220,44,violet
21,183,107,gold
75,7,74,grey
22,185,87,gold
120,36,70,grey
55,244,134,green
60,233,115,green
141,234,74,violet
147,212,59,violet
50,233,127,green
137,255,94,violet
30,251,176,yellow
13,170,24,black
12,255,78,brown
0,254,171,red
53,228,121,green
29,255,194,yellow
26,180,194,beige
7,221,74,brown
24,198,121,gold
101,57,76,grey
9,250,218,orange
