H,S,V,Label
25,165,198,gold
23,196,173,gold
22,195,173,gold
28,224,58,gold
12,221,75,brown
15,247,66,brown
16,229,68,brown
16,242,77,brown
29,174,151,beige
26,193,194,beige
30,179,175,beige
26,206,194,beige
26,174,157,beige
27,200,195,beige
23,209,83,gold
24,216,99,gold
23,205,168,gold
23,212,184,gold
21,241,111,gold
25,239,82,gold
18,246,81,brown
17,218,109,brown
15,249,43,brown
13,244,119,brown
19,255,51,brown
0,0,255,brown
43,245,176,green
27,188,176,beige
29,214,167,beige
27,187,188,beige
25,191,172,beige
27,208,180,beige
17,255,60,gold
20,197,93,gold
24,219,182,gold
22,202,191,gold
20,233,127,gold
25,255,70,gold
25,185,182,beige
26,167,160,beige
22,176,146,beige
50,48,16,black
133,162,11,black
110,85,9,black
20,240,100,gold
20,221,89,gold
21,231,126,gold
23,207,158,gold
24,234,182,gold
19,253,117,gold
24,168,170,beige
24,215,192,beige
27,233,206,beige
27,183,198,beige
31,250,168,yellow
25,228,197,gold
26,220,202,gold
24,184,194,gold
22,229,127,gold
32,132,114,beige
27,203,187,beige
27,196,187,beige
28,190,168,beige
25,197,176,beige
25,190,156,beige
32,116,112,gold
26,173,155,gold
24,196,148,gold
26,249,81,gold
26,193,193,gold
26,192,179,gold
26,227,165,gold
27,162,184,beige
25,181,199,beige
25,192,190,beige
22,183,162,beige
23,176,168,gold
24,180,177,gold
22,185,163,gold
21,223,120,gold
16,218,90,gold
21,255,10,black
15,235,52,brown
16,206,88,brown
16,209,89,brown
21,251,59,brown
12,224,49,brown
15,240,51,brown
18,229,79,brown
15,251,65,brown
31,152,149,beige
26,175,185,beige
26,191,159,beige
27,133,190,beige
20,229,70,brown
17,246,56,brown
18,234,84,brown
147,175,16,black
23,220,131,gold
24,189,166,gold
25,225,171,gold
27,157,190,gold
25,181,175,gold
23,236,68,gold
20,172,98,gold
27,178,143,beige
27,173,177,beige
24,193,190,beige
26,212,171,beige
25,187,185,beige
24,216,189,beige
96,159,8,black
21,159,61,gold
28,194,141,gold
28,193,172,gold
13,194,50,gold
24,225,86,gold
26,177,195,gold
26,177,156,beige
26,208,205,beige
27,205,195,beige
26,206,201,beige
26,203,195,beige
25,213,207,beige
0,0,255,orange
8,245,154,orange
7,237,139,orange
11,223,158,orange
26,213,192,gold
26,219,196,gold
24,160,139,beige
26,205,208,beige
26,220,213,beige
26,185,170,beige
8,213,24,black
20,235,100,gold
24,206,176,gold
24,213,175,gold
23,232,165,gold
26,184,187,beige
22,184,177,beige
26,156,185,beige
26,169,186,beige
26,172,194,beige
27,162,183,beige
24,157,171,beige
96,183,53,blue
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
19,209,88,gold
24,139,160,gold
23,177,167,gold
27,180,187,gold
24,202,177,gold
22,244,112,gold
20,239,80,gold
25,163,163,beige
25,139,193,beige
27,144,195,beige
21,189,70,gold
26,185,165,gold
27,200,162,gold
23,252,81,gold
24,178,129,gold
26,209,154,gold
15,204,60,brown
17,218,55,brown
12,210,79,brown
20,255,55,brown
17,251,66,brown
19,215,63,brown
19,224,74,brown
13,207,79,brown
19,217,100,brown
18,227,92,brown
19,249,91,brown
18,234,86,brown
15,239,80,brown
96,116,11,black
27,178,199,beige
25,211,197,beige
28,222,192,beige
26,187,196,beige
26,176,196,beige
17,212,71,gold
24,206,152,gold
22,227,99,gold
18,208,70,gold
20,198,135,gold
176,177,36,black
87,209,11,black
16,241,127,brown
20,226,131,brown
21,239,82,brown
26,199,176,beige
26,210,204,beige
26,139,149,beige
24,203,190,beige
24,209,193,beige
11,238,133,brown
15,255,125,brown
13,225,118,brown
16,219,77,gold
21,215,142,gold
22,201,166,gold
24,234,169,gold
21,252,73,gold
24,189,167,beige
28,163,152,beige
28,177,170,beige
26,194,192,beige
25,219,185,beige
18,255,76,brown
60,255,255,green
51,250,55,green
19,251,65,gold
19,198,112,gold
24,198,179,gold
22,203,148,gold
18,229,70,gold
23,225,136,gold
25,202,172,beige
25,193,194,beige
26,211,210,beige
24,216,168,beige
20,206,83,gold
26,178,150,gold
25,221,171,gold
24,206,155,gold
21,255,102,gold
23,199,176,beige
26,244,218,beige
26,235,190,beige
24,230,185,beige
24,183,190,beige
24,194,150,beige
25,204,166,beige
24,223,173,gold
25,214,207,gold
23,181,185,beige
23,163,172,beige
27,175,184,beige
24,174,138,beige
33,244,136,yellow
163,187,60,violet
0,0,255,violet
21,235,52,gold
23,178,183,gold
20,234,132,gold
25,188,171,gold
23,196,178,gold
23,155,150,beige
24,173,184,beige
24,171,173,beige
23,171,154,beige
21,175,141,beige
24,170,147,beige
20,207,53,gold
24,195,170,gold
25,188,183,gold
22,189,177,gold
17,188,121,gold
19,234,37,gold
5,198,45,brown
0,0,255,blue
0,0,255,blue
120,255,255,blue
0,0,255,green
24,178,150,beige
26,194,198,beige
28,196,173,beige
23,183,166,beige
27,215,205,beige
120,255,255,blue
51,33,54,grey
51,32,55,grey
140,14,56,grey
0,0,255,grey
22,68,56,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
0,0,255,grey
27,210,51,gold
27,206,170,gold
24,212,149,gold
24,230,72,gold
27,203,54,gold
26,222,169,gold
49,251,139,green
0,255,204,red
19,170,12,black
30,254,223,yellow
26,196,103,gold
108,250,98,blue
119,255,125,blue
0,255,186,red
24,216,177,gold
0,251,187,red
12,252,83,brown
30,253,214,yellow
98,51,55,grey
