H,S,V,Label
29,165,144,beige
27,176,167,beige
28,163,182,beige
30,152,188,beige
29,156,149,beige
27,164,148,beige
12,249,179,red
8,203,107,red
6,251,140,red
4,235,130,red
120,30,17,black
114,98,13,black
11,180,109,brown
28,144,154,beige
28,170,159,beige
27,147,185,beige
28,156,188,beige
24,143,134,beige
28,158,161,beige
28,165,175,beige
17,219,79,brown
140,48,16,black
120,16,31,black
146,115,31,black
115,61,25,black
14,151,22,black
16,200,14,black
6,253,139,red
9,255,88,red
5,255,82,red
25,193,123,gold
24,202,164,gold
27,184,172,gold
25,162,121,gold
27,186,163,gold
22,223,64,gold
25,188,145,gold
25,189,158,gold
27,180,163,gold
28,138,100,gold
39,117,74,gold
27,143,139,beige
24,191,192,beige
25,193,164,beige
28,160,134,beige
25,193,164,beige
24,177,161,beige
26,177,180,beige
31,176,167,beige
30,168,137,beige
2,255,75,red
1,246,90,red
1,255,91,red
24,206,145,gold
27,202,164,gold
28,216,169,gold
28,207,169,gold
28,186,119,gold
27,177,134,beige
25,209,160,beige
22,188,152,beige
26,176,164,beige
28,172,163,beige
26,168,137,beige
29,184,154,beige
25,182,174,beige
3,255,75,red
1,252,81,red
27,186,191,gold
26,218,192,gold
20,211,133,gold
28,195,233,gold
27,207,181,gold
26,180,188,beige
28,176,175,beige
27,159,149,beige
27,167,168,beige
28,172,176,beige
29,166,146,beige
23,192,77,gold
28,200,163,gold
28,201,185,gold
30,199,158,gold
24,227,120,gold
19,201,66,gold
23,224,65,gold
29,158,150,gold
29,86,134,gold
28,156,183,gold
29,182,146,gold
23,255,87,gold
21,205,56,gold
8,249,161,orange
7,255,138,orange
8,237,140,orange
9,249,162,orange
14,255,181,orange
12,255,165,orange
9,250,169,orange
8,252,147,orange
28,167,189,beige
27,157,193,beige
28,131,183,beige
27,169,166,beige
27,166,154,beige
13,255,129,orange
7,253,160,orange
8,250,152,orange
10,242,157,orange
10,255,180,orange
8,240,120,orange
6,243,132,orange
30,132,193,gold
28,95,174,gold
29,171,133,gold
27,222,183,gold
26,227,126,gold
22,201,99,gold
22,141,87,gold
27,170,150,gold
27,185,138,gold
24,201,89,gold
30,169,122,beige
26,206,147,beige
28,178,153,beige
28,182,146,beige
28,181,158,beige
28,171,133,beige
27,179,184,beige
15,182,28,gold
22,209,66,gold
26,210,169,gold
24,201,176,gold
25,209,162,gold
26,209,162,gold
24,203,168,gold
25,200,170,gold
141,149,12,black
6,255,10,black
16,162,41,black
11,206,26,black
143,247,33,violet
29,175,143,beige
28,173,153,beige
31,169,149,beige
30,169,166,beige
24,151,132,beige
26,182,129,beige
28,197,185,beige
29,173,149,beige
33,234,158,yellow
31,221,128,yellow
146,218,34,violet
137,190,39,violet
15,185,33,black
15,209,22,black
26,93,41,black
26,175,128,gold
27,214,131,gold
27,190,156,gold
27,201,151,gold
24,208,140,gold
25,182,179,beige
27,174,193,beige
26,185,192,beige
26,175,160,beige
23,187,116,gold
22,191,152,gold
25,192,178,gold
26,184,187,gold
25,183,190,gold
26,184,180,gold
26,193,153,gold
27,235,162,yellow
24,214,143,yellow
16,201,19,black
23,191,16,black
9,222,84,brown
9,222,84,brown
24,175,181,beige
26,172,179,beige
28,210,175,beige
29,193,180,beige
14,255,41,brown
9,237,84,brown
14,255,25,black
11,243,22,black
120,36,14,black
140,59,13,black
28,222,162,yellow
28,221,164,yellow
29,254,193,yellow
18,230,83,gold
26,184,119,gold
26,197,153,gold
27,168,191,gold
25,191,163,gold
28,169,164,gold
26,153,128,gold
25,183,142,beige
26,199,192,beige
25,207,190,beige
27,174,157,beige
25,181,141,beige
32,170,150,beige
27,172,172,beige
23,180,152,beige
22,164,165,beige
12,255,169,orange
10,249,163,orange
11,240,87,brown
17,218,69,brown
29,183,81,gold
29,183,142,gold
28,126,97,gold
30,202,158,gold
29,184,148,gold
26,160,148,beige
28,170,174,beige
27,172,199,beige
25,185,186,beige
26,189,135,beige
